u,v,w,p,q,r,phi,theta,psi,time
140.6954668800074,0.0,-5.242427402535564,0.0,-0.2695683492744875,0.0,0.0,-14.1745840762299,0.0,56.000000000000526
141.6707566831385,0.0,-5.348630520034878,0.0,-0.26997417613164604,0.0,0.0,-14.201540911157348,0.0,56.10000000000053
142.6409127126186,0.0,-5.453945615069492,0.0,-0.2703889458990342,0.0,0.0,-14.228538328770513,0.0,56.20000000000053
143.6052409871346,0.0,-5.558321729422187,0.0,-0.27081180631997004,0.0,0.0,-14.255577223360417,0.0,56.30000000000053
144.56304808051013,0.0,-5.6617085427331615,0.0,-0.2712418752456146,0.0,0.0,-14.282658403992414,0.0,56.40000000000053
145.5136416258448,0.0,-5.764056343852103,0.0,-0.27167824416708997,0.0,0.0,-14.309782591516976,0.0,56.50000000000053
146.45633083673988,0.0,-5.865316012413042,0.0,-0.2721199816593432,0.0,0.0,-14.336950415933686,0.0,56.600000000000534
147.39042704543635,0.0,-5.965439009996324,0.0,-0.27256613669851193,0.0,0.0,-14.36416241409962,0.0,56.700000000000536
148.31524425760455,0.0,-6.06437737971981,0.0,-0.2730157418238325,0.0,0.0,-14.391419027769471,0.0,56.80000000000054
149.23009972342862,0.0,-6.16208375273896,0.0,-0.27346781612600657,0.0,0.0,-14.418720601951854,0.0,56.90000000000054
150.13431452452718,0.0,-6.258511359950411,0.0,-0.27392136805525197,0.0,0.0,-14.446067383564454,0.0,57.00000000000054
151.0272141761407,0.0,-6.353614047184932,0.0,-0.2743753980529267,0.0,0.0,-14.47345952036998,0.0,57.10000000000054
151.90812924390013,0.0,-6.447346292325121,0.0,-0.2748289010196855,0.0,0.0,-14.500897060175273,0.0,57.20000000000054
152.77639597436908,0.0,-6.539663223058431,0.0,-0.2752808686399072,0.0,0.0,-14.528379950277241,0.0,57.300000000000544
153.63135693842784,0.0,-6.630520634335039,0.0,-0.27573029158621,0.0,0.0,-14.555908037141231,0.0,57.400000000000546
154.47236168644406,0.0,-6.719875004996285,0.0,-0.2761761616291478,0.0,0.0,-14.583481066299852,0.0,57.50000000000055
155.29876741405278,0.0,-6.807683513427098,0.0,-0.27661747367585876,0.0,0.0,-14.611098682462767,0.0,57.60000000000055
156.10993963725323,0.0,-6.893904052425051,0.0,-0.2770532277579529,0.0,0.0,-14.638760429830354,0.0,57.70000000000055
156.90525287542104,0.0,-6.978495243738595,0.0,-0.2774824309839119,0.0,0.0,-14.666465752606149,0.0,57.80000000000055
157.6840913407346,0.0,-7.061416452889124,0.0,-0.2779040994654439,0.0,0.0,-14.69421399570454,0.0,57.90000000000055
158.44584963242553,0.0,-7.142627804949778,0.0,-0.2783172602213165,0.0,0.0,-14.722004405651084,0.0,58.000000000000554
159.18993343418322,0.0,-7.222090201914597,0.0,-0.2787209530568283,0.0,0.0,-14.749836131673216,0.0,58.100000000000556
159.91576021297465,0.0,-7.299765342171447,0.0,-0.2791142324127887,0.0,0.0,-14.7777082269789,0.0,58.20000000000056
160.62275991748166,0.0,-7.375615742414726,0.0,-0.27949616917497,0.0,0.0,-14.805619650220178,0.0,58.30000000000056
161.3103756743071,0.0,-7.449604762126676,0.0,-0.27986585243361783,0.0,0.0,-14.833569267137674,0.0,58.40000000000056
161.97806448005875,0.0,-7.521696630546802,0.0,-0.28022239118267367,0.0,0.0,-14.861555852381036,0.0,58.50000000000056
162.62529788738556,0.0,-7.591856475861585,0.0,-0.2805649159496551,0.0,0.0,-14.889578091499303,0.0,58.60000000000056
163.25156268301197,0.0,-7.660050356199985,0.0,-0.28089258034931847,0.0,0.0,-14.917634583094268,0.0,58.700000000000564
163.8563615557948,0.0,-7.726245291925468,0.0,-0.28120456255688375,0.0,0.0,-14.9457238411292,0.0,58.800000000000566
164.43921375281252,0.0,-7.790409298675885,0.0,-0.28150006669933975,0.0,0.0,-14.973844297384888,0.0,58.90000000000057
164.99965572148926,0.0,-7.852511420615007,0.0,-0.2817783241658078,0.0,0.0,-15.001994304054822,0.0,59.00000000000057
165.53724173575603,0.0,-7.912521763414201,0.0,-0.282038594839862,0.0,0.0,-15.030172136471403,0.0,59.10000000000057
166.05154450426068,0.0,-7.970411526566718,0.0,-0.2822801682579168,0.0,0.0,-15.05837599595539,0.0,59.20000000000057
166.5421557586569,0.0,-8.026153034735254,0.0,-0.2825023646982575,0.0,0.0,-15.08660401278118,0.0,59.30000000000057
167.00868682003076,0.0,-8.07971976793178,0.0,-0.2827045362050622,0.0,0.0,-15.114854249251005,0.0,59.400000000000574
167.450769141563,0.0,-8.131086390414954,0.0,-0.2828860675509794,0.0,0.0,-15.14312470287151,0.0,59.500000000000576
167.86805482557548,0.0,-8.180228778256398,0.0,-0.283046377140679,0.0,0.0,-15.171413309626608,0.0,59.60000000000058
168.26021711317236,0.0,-8.227124045568228,0.0,-0.2831849178564919,0.0,0.0,-15.199717947340677,0.0,59.70000000000058
168.62695084475826,0.0,-8.271750569400284,0.0,-0.28330117784598885,0.0,0.0,-15.228036439126326,0.0,59.80000000000058
168.96797288979926,0.0,-8.314088013309494,0.0,-0.2833946812502883,0.0,0.0,-15.256366556910924,0.0,59.90000000000058
169.2830225442852,0.0,-8.354117349581415,0.0,-0.28346498887113086,0.0,0.0,-15.284706025035954,0.0,60.00000000000058
169.57186189445324,0.0,-8.391820880051974,0.0,-0.283511698774363,0.0,0.0,-15.313052523923067,0.0,60.100000000000584
169.83427614544354,0.0,-8.42718225544306,0.0,-0.2835344468274398,0.0,0.0,-15.341403693800503,0.0,60.200000000000585
170.07007391367438,0.0,-8.460186493094845,0.0,-0.28353290716881957,0.0,0.0,-15.369757138483246,0.0,60.30000000000059
170.27908748184905,0.0,-8.49081999295532,0.0,-0.28350679260762,0.0,0.0,-15.398110429200129,0.0,60.40000000000059
170.46117301563584,0.0,-8.519070551676256,0.0,-0.28345585495252323,0.0,0.0,-15.426461108460892,0.0,60.50000000000059
170.6162107411984,0.0,-8.544927374665269,0.0,-0.2833798852695748,0.0,0.0,-15.454806693956144,0.0,60.60000000000059
170.74410508289176,0.0,-8.568381085954972,0.0,-0.2832787140691333,0.0,0.0,-15.4831446824831,0.0,60.70000000000059
170.8447847605835,0.0,-8.589423735770115,0.0,-0.2831522114227355,0.0,0.0,-15.511472553890014,0.0,60.800000000000594
170.91820284620474,0.0,-8.60804880569907,0.0,-0.28300028701101915,0.0,0.0,-15.539787775032288,0.0,60.900000000000595
170.9643367792842,0.0,-8.62425121140389,0.0,-0.282822890104082,0.0,0.0,-15.56808780373339,0.0,61.0000000000006
170.98318834136882,0.0,-8.638027302830752,0.0,-0.2826200094757709,0.0,0.0,-15.596370092743797,0.0,61.1000000000006
170.97478358938463,0.0,-8.64937486190739,0.0,-0.28239167325341363,0.0,0.0,-15.624632093691375,0.0,61.2000000000006
170.9391727481428,0.0,-8.658293097735083,0.0,-0.2821379487044736,0.0,0.0,-15.652871261016717,0.0,61.3000000000006
170.8764300623454,0.0,-8.664782639299103,0.0,-0.2818589419615501,0.0,0.0,-15.681085055887165,0.0,61.4000000000006
170.78665360859384,0.0,-8.668845525733573,0.0,-0.2815547976871091,0.0,0.0,-15.709270950083319,0.0,61.500000000000604
170.66996506804827,0.0,-8.6704851941852,0.0,-0.28122569867932423,0.0,0.0,-15.737426429852029,0.0,61.600000000000605
170.52650946052825,0.0,-8.669706465326326,0.0,-0.2808718654204506,0.0,0.0,-15.765548999719961,0.0,61.70000000000061
170.35645484098288,0.0,-8.666515526572505,0.0,-0.28049355556924993,0.0,0.0,-15.793636186262006,0.0,61.80000000000061
170.15999195939054,0.0,-8.660919913064173,0.0,-0.28009106339912254,0.0,0.0,-15.821685541818931,0.0,61.90000000000061
169.93733388527542,0.0,-8.652928486477057,0.0,-0.279664719183771,0.0,0.0,-15.849694648158843,0.0,62.00000000000061
169.6887155981474,0.0,-8.642551411731928,0.0,-0.2792148885324053,0.0,0.0,-15.87766112007722,0.0,62.10000000000061
169.4143935452849,0.0,-8.629800131681606,0.0,-0.27874197167668335,0.0,0.0,-15.90558260893046,0.0,62.200000000000614
169.1146451683845,0.0,-8.61468733986146,0.0,-0.2782464027117534,0.0,0.0,-15.933456806098128,0.0,62.300000000000615
168.78976840069862,0.0,-8.597226951398794,0.0,-0.27772864879391257,0.0,0.0,-15.961281446369304,0.0,62.40000000000062
168.4400811363691,0.0,-8.577434072186016,0.0,-0.2771892092975158,0.0,0.0,-15.989054311248696,0.0,62.50000000000062
168.06592067374427,0.0,-8.555324966431956,0.0,-0.27662861493385626,0.0,0.0,-16.016773232178448,0.0,62.60000000000062
167.66764313453666,0.0,-8.530917022714563,0.0,-0.2760474268347976,0.0,0.0,-16.044436093671834,0.0,62.70000000000062
167.2456228607373,0.0,-8.504228718666349,0.0,-0.27544623560396886,0.0,0.0,-16.072040836355313,0.0,62.80000000000062
166.8002517912543,0.0,-8.475279584430972,0.0,-0.2748256603383415,0.0,0.0,-16.09958545991571,0.0,62.900000000000624
166.33193882028283,0.0,-8.444090165035348,0.0,-0.2741863476230013,0.0,0.0,-16.127068025949544,0.0,63.000000000000625
165.8411091394449,0.0,-8.410681981826384,0.0,-0.273528970501904,0.0,0.0,-16.154486660711843,0.0,63.10000000000063
165.32820356575846,0.0,-8.375077493125337,0.0,-0.2728542274273727,0.0,0.0,-16.181839557762032,0.0,63.20000000000063
